0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:33:35 +0900] "GET /WebProjectEx1/day0419/Ex1ReadJson.html HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:18 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:34:19 +0900] "GET /WebProjectEx1/image2/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:45:13 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:45:14 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:45:14 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:10:45:14 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:11:22:27 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:11:22:27 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:11:27:19 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [21/Apr/2022:11:27:19 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:11:28:03 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 200 5656
0:0:0:0:0:0:0:1 - - [21/Apr/2022:11:28:03 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
